mu_1,sigma_1,mu_2,sigma_2,mu_3,sigma_3,mu_4,sigma_4
6.0,3.0,6.0,2.5,5.0,3.0,5.0,2.5
6.0,3.3,6.0,2.75,5.0,3.3,5.0,2.75
6.0,3.6,6.0,3.0,5.0,3.6,5.0,3.0
6.0,3.9,6.0,3.25,5.0,3.9,5.0,3.25
6.0,4.2,6.0,3.5,5.0,4.2,5.0,3.5
6.0,4.5,6.0,3.75,5.0,4.5,5.0,3.75
6.0,4.8,6.0,4.0,5.0,4.8,5.0,4.0
6.0,5.1,6.0,4.25,5.0,5.1,5.0,4.25
6.0,5.4,6.0,4.5,5.0,5.4,5.0,4.5
6.0,5.7,6.0,4.75,5.0,5.7,5.0,4.75
6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0
6.0,6.3,6.0,5.25,5.0,6.3,5.0,5.25
6.0,6.6,6.0,5.5,5.0,6.6,5.0,5.5
6.0,6.9,6.0,5.75,5.0,6.9,5.0,5.75
6.0,7.2,6.0,6.0,5.0,7.2,5.0,6.0
6.0,7.5,6.0,6.25,5.0,7.5,5.0,6.25
6.0,7.8,6.0,6.5,5.0,7.8,5.0,6.5
6.0,8.1,6.0,6.75,5.0,8.1,5.0,6.75
6.0,8.4,6.0,7.0,5.0,8.4,5.0,7.0
6.0,8.7,6.0,7.25,5.0,8.7,5.0,7.25
6.0,9.0,6.0,7.5,5.0,9.0,5.0,7.5
6.0,3.5,6.0,2.5,5.0,3.5,5.0,2.5
6.0,3.85,6.0,2.75,5.0,3.85,5.0,2.75
6.0,4.2,6.0,3.0,5.0,4.2,5.0,3.0
6.0,4.55,6.0,3.25,5.0,4.55,5.0,3.25
6.0,4.9,6.0,3.5,5.0,4.9,5.0,3.5
6.0,5.25,6.0,3.75,5.0,5.25,5.0,3.75
6.0,5.6,6.0,4.0,5.0,5.6,5.0,4.0
6.0,5.95,6.0,4.25,5.0,5.95,5.0,4.25
6.0,6.3,6.0,4.5,5.0,6.3,5.0,4.5
6.0,6.65,6.0,4.75,5.0,6.65,5.0,4.75
6.0,7.0,6.0,5.0,5.0,7.0,5.0,5.0
6.0,7.35,6.0,5.25,5.0,7.35,5.0,5.25
6.0,7.7,6.0,5.5,5.0,7.7,5.0,5.5
6.0,8.05,6.0,5.75,5.0,8.05,5.0,5.75
6.0,8.4,6.0,6.0,5.0,8.4,5.0,6.0
6.0,8.75,6.0,6.25,5.0,8.75,5.0,6.25
6.0,9.1,6.0,6.5,5.0,9.1,5.0,6.5
6.0,9.45,6.0,6.75,5.0,9.45,5.0,6.75
6.0,9.8,6.0,7.0,5.0,9.8,5.0,7.0
6.0,10.15,6.0,7.25,5.0,10.15,5.0,7.25
6.0,10.5,6.0,7.5,5.0,10.5,5.0,7.5
6.0,4.0,6.0,2.5,5.0,4.0,5.0,2.5
6.0,4.4,6.0,2.75,5.0,4.4,5.0,2.75
6.0,4.8,6.0,3.0,5.0,4.8,5.0,3.0
6.0,5.2,6.0,3.25,5.0,5.2,5.0,3.25
6.0,5.6,6.0,3.5,5.0,5.6,5.0,3.5
6.0,6.0,6.0,3.75,5.0,6.0,5.0,3.75
6.0,6.4,6.0,4.0,5.0,6.4,5.0,4.0
6.0,6.8,6.0,4.25,5.0,6.8,5.0,4.25
6.0,7.2,6.0,4.5,5.0,7.2,5.0,4.5
6.0,7.6,6.0,4.75,5.0,7.6,5.0,4.75
6.0,8.0,6.0,5.0,5.0,8.0,5.0,5.0
6.0,8.4,6.0,5.25,5.0,8.4,5.0,5.25
6.0,8.8,6.0,5.5,5.0,8.8,5.0,5.5
6.0,9.2,6.0,5.75,5.0,9.2,5.0,5.75
6.0,9.6,6.0,6.0,5.0,9.6,5.0,6.0
6.0,10.0,6.0,6.25,5.0,10.0,5.0,6.25
6.0,10.4,6.0,6.5,5.0,10.4,5.0,6.5
6.0,10.8,6.0,6.75,5.0,10.8,5.0,6.75
6.0,11.2,6.0,7.0,5.0,11.2,5.0,7.0
6.0,11.6,6.0,7.25,5.0,11.6,5.0,7.25
6.0,12.0,6.0,7.5,5.0,12.0,5.0,7.5
6.0,4.5,6.0,2.5,5.0,4.5,5.0,2.5
6.0,4.95,6.0,2.75,5.0,4.95,5.0,2.75
6.0,5.4,6.0,3.0,5.0,5.4,5.0,3.0
6.0,5.85,6.0,3.25,5.0,5.85,5.0,3.25
6.0,6.3,6.0,3.5,5.0,6.3,5.0,3.5
6.0,6.75,6.0,3.75,5.0,6.75,5.0,3.75
6.0,7.2,6.0,4.0,5.0,7.2,5.0,4.0
6.0,7.65,6.0,4.25,5.0,7.65,5.0,4.25
6.0,8.1,6.0,4.5,5.0,8.1,5.0,4.5
6.0,8.55,6.0,4.75,5.0,8.55,5.0,4.75
6.0,9.0,6.0,5.0,5.0,9.0,5.0,5.0
6.0,9.45,6.0,5.25,5.0,9.45,5.0,5.25
6.0,9.9,6.0,5.5,5.0,9.9,5.0,5.5
6.0,10.35,6.0,5.75,5.0,10.35,5.0,5.75
6.0,10.8,6.0,6.0,5.0,10.8,5.0,6.0
6.0,11.25,6.0,6.25,5.0,11.25,5.0,6.25
6.0,11.7,6.0,6.5,5.0,11.7,5.0,6.5
6.0,12.15,6.0,6.75,5.0,12.15,5.0,6.75
6.0,12.6,6.0,7.0,5.0,12.6,5.0,7.0
6.0,13.05,6.0,7.25,5.0,13.05,5.0,7.25
6.0,13.5,6.0,7.5,5.0,13.5,5.0,7.5
6.0,5.0,6.0,2.5,5.0,5.0,5.0,2.5
6.0,5.5,6.0,2.75,5.0,5.5,5.0,2.75
6.0,6.0,6.0,3.0,5.0,6.0,5.0,3.0
6.0,6.5,6.0,3.25,5.0,6.5,5.0,3.25
6.0,7.0,6.0,3.5,5.0,7.0,5.0,3.5
6.0,7.5,6.0,3.75,5.0,7.5,5.0,3.75
6.0,8.0,6.0,4.0,5.0,8.0,5.0,4.0
6.0,8.5,6.0,4.25,5.0,8.5,5.0,4.25
6.0,9.0,6.0,4.5,5.0,9.0,5.0,4.5
6.0,9.5,6.0,4.75,5.0,9.5,5.0,4.75
6.0,10.0,6.0,5.0,5.0,10.0,5.0,5.0
6.0,10.5,6.0,5.25,5.0,10.5,5.0,5.25
6.0,11.0,6.0,5.5,5.0,11.0,5.0,5.5
6.0,11.5,6.0,5.75,5.0,11.5,5.0,5.75
6.0,12.0,6.0,6.0,5.0,12.0,5.0,6.0
6.0,12.5,6.0,6.25,5.0,12.5,5.0,6.25
6.0,13.0,6.0,6.5,5.0,13.0,5.0,6.5
6.0,13.5,6.0,6.75,5.0,13.5,5.0,6.75
6.0,14.0,6.0,7.0,5.0,14.0,5.0,7.0
6.0,14.5,6.0,7.25,5.0,14.5,5.0,7.25
6.0,15.0,6.0,7.5,5.0,15.0,5.0,7.5
7.0,3.0,7.0,2.5,5.0,3.0,5.0,2.5
7.0,3.3,7.0,2.75,5.0,3.3,5.0,2.75
7.0,3.6,7.0,3.0,5.0,3.6,5.0,3.0
7.0,3.9,7.0,3.25,5.0,3.9,5.0,3.25
7.0,4.2,7.0,3.5,5.0,4.2,5.0,3.5
7.0,4.5,7.0,3.75,5.0,4.5,5.0,3.75
7.0,4.8,7.0,4.0,5.0,4.8,5.0,4.0
7.0,5.1,7.0,4.25,5.0,5.1,5.0,4.25
7.0,5.4,7.0,4.5,5.0,5.4,5.0,4.5
7.0,5.7,7.0,4.75,5.0,5.7,5.0,4.75
7.0,6.0,7.0,5.0,5.0,6.0,5.0,5.0
7.0,6.3,7.0,5.25,5.0,6.3,5.0,5.25
7.0,6.6,7.0,5.5,5.0,6.6,5.0,5.5
7.0,6.9,7.0,5.75,5.0,6.9,5.0,5.75
7.0,7.2,7.0,6.0,5.0,7.2,5.0,6.0
7.0,7.5,7.0,6.25,5.0,7.5,5.0,6.25
7.0,7.8,7.0,6.5,5.0,7.8,5.0,6.5
7.0,8.1,7.0,6.75,5.0,8.1,5.0,6.75
7.0,8.4,7.0,7.0,5.0,8.4,5.0,7.0
7.0,8.7,7.0,7.25,5.0,8.7,5.0,7.25
7.0,9.0,7.0,7.5,5.0,9.0,5.0,7.5
7.0,3.5,7.0,2.5,5.0,3.5,5.0,2.5
7.0,3.85,7.0,2.75,5.0,3.85,5.0,2.75
7.0,4.2,7.0,3.0,5.0,4.2,5.0,3.0
7.0,4.55,7.0,3.25,5.0,4.55,5.0,3.25
7.0,4.9,7.0,3.5,5.0,4.9,5.0,3.5
7.0,5.25,7.0,3.75,5.0,5.25,5.0,3.75
7.0,5.6,7.0,4.0,5.0,5.6,5.0,4.0
7.0,5.95,7.0,4.25,5.0,5.95,5.0,4.25
7.0,6.3,7.0,4.5,5.0,6.3,5.0,4.5
7.0,6.65,7.0,4.75,5.0,6.65,5.0,4.75
7.0,7.0,7.0,5.0,5.0,7.0,5.0,5.0
7.0,7.35,7.0,5.25,5.0,7.35,5.0,5.25
7.0,7.7,7.0,5.5,5.0,7.7,5.0,5.5
7.0,8.05,7.0,5.75,5.0,8.05,5.0,5.75
7.0,8.4,7.0,6.0,5.0,8.4,5.0,6.0
7.0,8.75,7.0,6.25,5.0,8.75,5.0,6.25
7.0,9.1,7.0,6.5,5.0,9.1,5.0,6.5
7.0,9.45,7.0,6.75,5.0,9.45,5.0,6.75
7.0,9.8,7.0,7.0,5.0,9.8,5.0,7.0
7.0,10.15,7.0,7.25,5.0,10.15,5.0,7.25
7.0,10.5,7.0,7.5,5.0,10.5,5.0,7.5
7.0,4.0,7.0,2.5,5.0,4.0,5.0,2.5
7.0,4.4,7.0,2.75,5.0,4.4,5.0,2.75
7.0,4.8,7.0,3.0,5.0,4.8,5.0,3.0
7.0,5.2,7.0,3.25,5.0,5.2,5.0,3.25
7.0,5.6,7.0,3.5,5.0,5.6,5.0,3.5
7.0,6.0,7.0,3.75,5.0,6.0,5.0,3.75
7.0,6.4,7.0,4.0,5.0,6.4,5.0,4.0
7.0,6.8,7.0,4.25,5.0,6.8,5.0,4.25
7.0,7.2,7.0,4.5,5.0,7.2,5.0,4.5
7.0,7.6,7.0,4.75,5.0,7.6,5.0,4.75
7.0,8.0,7.0,5.0,5.0,8.0,5.0,5.0
7.0,8.4,7.0,5.25,5.0,8.4,5.0,5.25
7.0,8.8,7.0,5.5,5.0,8.8,5.0,5.5
7.0,9.2,7.0,5.75,5.0,9.2,5.0,5.75
7.0,9.6,7.0,6.0,5.0,9.6,5.0,6.0
7.0,10.0,7.0,6.25,5.0,10.0,5.0,6.25
7.0,10.4,7.0,6.5,5.0,10.4,5.0,6.5
7.0,10.8,7.0,6.75,5.0,10.8,5.0,6.75
7.0,11.2,7.0,7.0,5.0,11.2,5.0,7.0
7.0,11.6,7.0,7.25,5.0,11.6,5.0,7.25
7.0,12.0,7.0,7.5,5.0,12.0,5.0,7.5
7.0,4.5,7.0,2.5,5.0,4.5,5.0,2.5
7.0,4.95,7.0,2.75,5.0,4.95,5.0,2.75
7.0,5.4,7.0,3.0,5.0,5.4,5.0,3.0
7.0,5.85,7.0,3.25,5.0,5.85,5.0,3.25
7.0,6.3,7.0,3.5,5.0,6.3,5.0,3.5
7.0,6.75,7.0,3.75,5.0,6.75,5.0,3.75
7.0,7.2,7.0,4.0,5.0,7.2,5.0,4.0
7.0,7.65,7.0,4.25,5.0,7.65,5.0,4.25
7.0,8.1,7.0,4.5,5.0,8.1,5.0,4.5
7.0,8.55,7.0,4.75,5.0,8.55,5.0,4.75
7.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0
7.0,9.45,7.0,5.25,5.0,9.45,5.0,5.25
7.0,9.9,7.0,5.5,5.0,9.9,5.0,5.5
7.0,10.35,7.0,5.75,5.0,10.35,5.0,5.75
7.0,10.8,7.0,6.0,5.0,10.8,5.0,6.0
7.0,11.25,7.0,6.25,5.0,11.25,5.0,6.25
7.0,11.7,7.0,6.5,5.0,11.7,5.0,6.5
7.0,12.15,7.0,6.75,5.0,12.15,5.0,6.75
7.0,12.6,7.0,7.0,5.0,12.6,5.0,7.0
7.0,13.05,7.0,7.25,5.0,13.05,5.0,7.25
7.0,13.5,7.0,7.5,5.0,13.5,5.0,7.5
7.0,5.0,7.0,2.5,5.0,5.0,5.0,2.5
7.0,5.5,7.0,2.75,5.0,5.5,5.0,2.75
7.0,6.0,7.0,3.0,5.0,6.0,5.0,3.0
7.0,6.5,7.0,3.25,5.0,6.5,5.0,3.25
7.0,7.0,7.0,3.5,5.0,7.0,5.0,3.5
7.0,7.5,7.0,3.75,5.0,7.5,5.0,3.75
7.0,8.0,7.0,4.0,5.0,8.0,5.0,4.0
7.0,8.5,7.0,4.25,5.0,8.5,5.0,4.25
7.0,9.0,7.0,4.5,5.0,9.0,5.0,4.5
7.0,9.5,7.0,4.75,5.0,9.5,5.0,4.75
7.0,10.0,7.0,5.0,5.0,10.0,5.0,5.0
7.0,10.5,7.0,5.25,5.0,10.5,5.0,5.25
7.0,11.0,7.0,5.5,5.0,11.0,5.0,5.5
7.0,11.5,7.0,5.75,5.0,11.5,5.0,5.75
7.0,12.0,7.0,6.0,5.0,12.0,5.0,6.0
7.0,12.5,7.0,6.25,5.0,12.5,5.0,6.25
7.0,13.0,7.0,6.5,5.0,13.0,5.0,6.5
7.0,13.5,7.0,6.75,5.0,13.5,5.0,6.75
7.0,14.0,7.0,7.0,5.0,14.0,5.0,7.0
7.0,14.5,7.0,7.25,5.0,14.5,5.0,7.25
7.0,15.0,7.0,7.5,5.0,15.0,5.0,7.5
8.0,3.0,8.0,2.5,5.0,3.0,5.0,2.5
8.0,3.3,8.0,2.75,5.0,3.3,5.0,2.75
8.0,3.6,8.0,3.0,5.0,3.6,5.0,3.0
8.0,3.9,8.0,3.25,5.0,3.9,5.0,3.25
8.0,4.2,8.0,3.5,5.0,4.2,5.0,3.5
8.0,4.5,8.0,3.75,5.0,4.5,5.0,3.75
8.0,4.8,8.0,4.0,5.0,4.8,5.0,4.0
8.0,5.1,8.0,4.25,5.0,5.1,5.0,4.25
8.0,5.4,8.0,4.5,5.0,5.4,5.0,4.5
8.0,5.7,8.0,4.75,5.0,5.7,5.0,4.75
8.0,6.0,8.0,5.0,5.0,6.0,5.0,5.0
8.0,6.3,8.0,5.25,5.0,6.3,5.0,5.25
8.0,6.6,8.0,5.5,5.0,6.6,5.0,5.5
8.0,6.9,8.0,5.75,5.0,6.9,5.0,5.75
8.0,7.2,8.0,6.0,5.0,7.2,5.0,6.0
8.0,7.5,8.0,6.25,5.0,7.5,5.0,6.25
8.0,7.8,8.0,6.5,5.0,7.8,5.0,6.5
8.0,8.1,8.0,6.75,5.0,8.1,5.0,6.75
8.0,8.4,8.0,7.0,5.0,8.4,5.0,7.0
8.0,8.7,8.0,7.25,5.0,8.7,5.0,7.25
8.0,9.0,8.0,7.5,5.0,9.0,5.0,7.5
8.0,3.5,8.0,2.5,5.0,3.5,5.0,2.5
8.0,3.85,8.0,2.75,5.0,3.85,5.0,2.75
8.0,4.2,8.0,3.0,5.0,4.2,5.0,3.0
8.0,4.55,8.0,3.25,5.0,4.55,5.0,3.25
8.0,4.9,8.0,3.5,5.0,4.9,5.0,3.5
8.0,5.25,8.0,3.75,5.0,5.25,5.0,3.75
8.0,5.6,8.0,4.0,5.0,5.6,5.0,4.0
8.0,5.95,8.0,4.25,5.0,5.95,5.0,4.25
8.0,6.3,8.0,4.5,5.0,6.3,5.0,4.5
8.0,6.65,8.0,4.75,5.0,6.65,5.0,4.75
8.0,7.0,8.0,5.0,5.0,7.0,5.0,5.0
8.0,7.35,8.0,5.25,5.0,7.35,5.0,5.25
8.0,7.7,8.0,5.5,5.0,7.7,5.0,5.5
8.0,8.05,8.0,5.75,5.0,8.05,5.0,5.75
8.0,8.4,8.0,6.0,5.0,8.4,5.0,6.0
8.0,8.75,8.0,6.25,5.0,8.75,5.0,6.25
8.0,9.1,8.0,6.5,5.0,9.1,5.0,6.5
8.0,9.45,8.0,6.75,5.0,9.45,5.0,6.75
8.0,9.8,8.0,7.0,5.0,9.8,5.0,7.0
8.0,10.15,8.0,7.25,5.0,10.15,5.0,7.25
8.0,10.5,8.0,7.5,5.0,10.5,5.0,7.5
8.0,4.0,8.0,2.5,5.0,4.0,5.0,2.5
8.0,4.4,8.0,2.75,5.0,4.4,5.0,2.75
8.0,4.8,8.0,3.0,5.0,4.8,5.0,3.0
8.0,5.2,8.0,3.25,5.0,5.2,5.0,3.25
8.0,5.6,8.0,3.5,5.0,5.6,5.0,3.5
8.0,6.0,8.0,3.75,5.0,6.0,5.0,3.75
8.0,6.4,8.0,4.0,5.0,6.4,5.0,4.0
8.0,6.8,8.0,4.25,5.0,6.8,5.0,4.25
8.0,7.2,8.0,4.5,5.0,7.2,5.0,4.5
8.0,7.6,8.0,4.75,5.0,7.6,5.0,4.75
8.0,8.0,8.0,5.0,5.0,8.0,5.0,5.0
8.0,8.4,8.0,5.25,5.0,8.4,5.0,5.25
8.0,8.8,8.0,5.5,5.0,8.8,5.0,5.5
